Data,Abertura,Máxima,Mínima,Fechado,Média,Variação,Volume,Quantidade de Ações,Negócios
4/20/2020,29,29.49,28.52,28.99,28.9,-1.99,513772288,17775000,46274
4/17/2020,29.55,30.06,29.03,29.58,29.55,2.7,550212800,18615000,49085
4/16/2020,30.1,30.38,28.8,28.8,29.27,-2.86,606974464,20734200,53466
4/15/2020,29.48,30.24,29,29.65,29.66,-1.85,496899584,16748200,47711
4/14/2020,30.94,31.65,30,30.21,30.98,-0.09,550571584,17769700,57626
4/13/2020,29.76,30.3,28.7,30.24,29.4,1.98,530151488,18028700,50332
4/9/2020,30.34,30.88,29.46,29.65,30.18,-0.26,529003680,17525600,44193
4/8/2020,29.3,30.55,28.58,29.73,29.72,1.91,591269440,19894100,51926
4/7/2020,29.45,30.5,29.17,29.17,29.98,4.7,645157440,21514700,56841
4/6/2020,27.15,28.3,26.74,27.86,27.73,9.25,593983360,21414000,53545
4/3/2020,26.85,26.89,25,25.5,25.5,-5.62,483729952,18968100,58456
4/2/2020,26.95,27.8,26.31,27.02,27.14,1.16,426710400,15722400,49987
4/1/2020,26.9,27.28,26.05,26.71,26.64,-4.23,528339264,19826600,57296
3/31/2020,29.2,29.5,27.43,27.89,28.47,-3.79,538391552,18904200,48390
3/30/2020,28.9,29.46,28.31,28.99,28.88,2.65,455424064,15768600,34983
3/27/2020,28.78,29.5,28.02,28.24,28.64,-7.37,595812160,20802400,62808
3/26/2020,29.34,31.67,29.28,30.49,30.43,5.02,781050880,25660000,72504
3/25/2020,25.93,30.57,25.73,29.03,28.31,11.99,708334336,25020600,61586
3/24/2020,24.2,26.48,23.8,25.92,25.45,17.12,656623936,25799300,60903
3/23/2020,25,25,21.91,22.13,22.51,-10.04,603542208,26808100,69947
3/20/2020,27,27.9,24.33,24.6,26.26,-3.79,779413696,29675100,84156
3/19/2020,25.5,27.69,23.34,25.57,25.52,-3.9,1063379776,41664900,100081
3/18/2020,29.17,30.16,25.3,26.61,27.16,-16.5,1040084032,38293300,92059
3/17/2020,31.4,33.29,30.05,31.87,31.76,4.83,858815616,27033700,82685
3/16/2020,30.5,32.8,29.55,30.4,30.72,-16.68,963080128,31345200,101104
3/13/2020,36.24,37.67,31.71,36.49,34.78,16.76,1418481792,40778100,99978
3/12/2020,29.2,31.95,26.56,31.25,29.38,-13.28,926947008,31542400,75765
3/11/2020,38.6,38.82,34.23,36.19,36.58,-8.63,914708288,25003500,61737
3/10/2020,39.52,40.69,37.63,39.61,38.97,5.26,1264367616,32436700,79656
3/9/2020,38.45,40.19,36.3,37.63,37.96,-11.04,955691648,25174600,87930
3/6/2020,41.8,42.72,41.24,42.3,42.03,-1.87,799740032,19025700,57829
3/5/2020,45.26,45.57,42.3,43.11,43.76,-5.91,1131306752,25846800,51789
3/5/2020,45.26,45.57,42.3,43.11,43.76,-5.91,1131306752,25846800,51789
3/4/2020,46.45,46.69,45,45.82,45.65,0.1,878185408,19234000,37315
3/3/2020,46.71,47.36,45.11,45.77,46.1,-2.92,993722752,21553700,49847
3/2/2020,46.82,47.49,46.3,47.15,46.95,0.61,620317952,13210200,40766
2/28/2020,46.15,46.86,44.55,46.86,45.99,2.33,1213238656,26379200,66683
2/27/2020,44.8,47.59,44.38,45.79,46.32,1.23,1458013056,31472900,56012
2/26/2020,46.6,46.62,45.15,45.23,45.9,-7.4,698350336,15214100,48135
2/21/2020,48.81,49.22,48.33,49.22,48.85,0.08,314419552,6435600,19407
2/20/2020,50,50.05,48.68,49.18,49.14,-1.02,592342592,12052200,28325
2/19/2020,49.5,50.33,49.15,49.69,49.88,0.24,556112704,11148100,34243
2/18/2020,48.96,49.9,48.7,49.57,49.31,0.95,440382592,8929100,31079
2/17/2020,50.08,50.24,49.1,49.1,49.53,-1.5,334279552,6749000,18324
2/14/2020,50.88,50.96,49.57,49.85,50.21,-1.9,503323552,10022700,27983
2/13/2020,51.35,51.54,50.45,50.82,51,-1.54,704131520,13806300,34508
2/12/2020,51.87,52.36,50.67,51.62,51.46,0.58,855174784,16617100,31593
2/11/2020,49.92,51.65,49.68,51.32,51.21,4.5,926809216,18096500,44339
2/10/2020,49.71,49.99,48.88,49.11,49.29,-0.98,383747328,7785300,21649
2/7/2020,49.55,50.32,49.26,49.6,49.82,0.1,388363328,7795000,22621
2/6/2020,51,51.05,49.25,49.55,49.81,-1.68,481321600,9662900,25150
2/5/2020,49.2,51.29,49.1,50.4,50.51,4.45,1196756096,23691700,49089
2/4/2020,49.29,49.6,48.25,48.25,48.8,-1.08,574278656,11766600,34796
2/3/2020,48.55,49.14,48.01,48.78,48.78,0.49,497651328,10201400,32654
1/31/2020,49.11,49.12,48.22,48.54,48.68,-2.53,785061696,16126400,29043
1/30/2020,48.7,49.99,48.37,49.8,48.91,0.68,613416896,12539900,32458
1/29/2020,51,51.38,49.36,49.46,49.85,-2.46,418772544,8400200,25413
